id,name,city,state,historical_booking_count,genre_history_count,has_capacity,has_genre_history,has_coordinates,has_resolved_market
venue_f161a6ba88ec5686b408f9d3a31bb784,Garfield Park Conservatory,Chicago,IL,5,2,False,True,False,True
venue_122b0dc695b7530cb4bb655d21e236d0,Gas Works Park,Seattle,WA,5,0,False,False,False,True
venue_4cc0373aecb3585889dab4b80982104a,Granada Theater - TX,Dallas,TX,5,1,False,True,False,True
venue_41917d4129cc5ed6887c8c935a784bc7,Joe's on Weed Street,Chicago,IL,5,2,True,True,False,True
venue_8f2c4113c165543a85fe6fda46b11476,Majestic Theatre Dallas,Dallas,TX,5,3,False,True,False,True
venue_4593cff9ebb75447b96cb658f0bd599d,Nashville Municipal Auditorium,Nashville,TN,5,1,True,True,False,True
venue_4d97e99312535a18ae18c95b5a543040,Paramount Theatre,Seattle,WA,5,4,False,True,False,True
venue_2bfe9d97d03e5c2b86f7f68c08781e42,Reggies Music Joint,Chicago,IL,5,3,True,True,False,True
venue_db1d6920de665b89bc112bd508a8e1eb,Stateside Live!,Philadelphia,PA,5,2,False,True,False,True
venue_34fc0b819bce5bd1b387ee5a94d550be,Subterranean,Chicago,IL,5,4,True,True,False,True
venue_d655b5b63c645a6cbe126ab49bbf1ca6,The Wilbur,Boston,MA,5,5,True,True,False,True
venue_d887d0c427b85f4a8a418386b38dbcab,Acrisure Stadium,Pittsburgh,PA,4,1,True,True,False,True
venue_73dfdacd514b52d5adc9457405820863,Beat Kitchen,Chicago,IL,4,2,True,True,False,True
venue_03c8de944c6151bd893afc07399a1cbd,Brushy Street Commons,Austin,TX,4,2,False,True,False,True
venue_b89f286620ec55279ad43fe605088469,Cafe Wha?,New York,NY,4,3,True,True,False,True
venue_25745036fa5f5c969ce1bd694edc3bd0,Clock-Out Lounge,Seattle,WA,4,2,False,True,False,True
venue_307095d492985a2b80cc689b3d50bb9a,Club Dada,Dallas,TX,4,2,False,True,False,True
venue_d86e7387f2b351b89c1f1b8342b8fd93,Crafthouse Stage and Grill,Pittsburgh,PA,4,7,True,True,False,True
